STT,Ngày,Mã,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi giá(+/-),Thay đổi giá(%),KLGD khớp lệnh,GTGD khớp lệnh,KLGD thỏa thuận,GTGD thỏa thuận,KL Tổng giao dịch,GT Tổng giao dịch,Tổng giao dịch
1,05/05/2020,AAA,11.65,11.7,12.1,12.2,11.65,11.85,450,3.86,"1,632,300","19,341",0,0,"1,632,300","19,341","2,071,520"
2,05/05/2020,AAM,11.5,11.1,11.05,11.1,11.05,11.16,-450,-3.91,"2,150",24,0,0,"2,150",24,"115,486"
3,05/05/2020,ABS,15.5,14.45,14.9,16,14.45,14.61,-600,-3.87,"347,130","5,073",0,0,"347,130","5,073","429,120"
4,05/05/2020,ABT,34.1,32.1,32.1,32.1,32.1,0,"-2,000",-5.87,10,0,0,0,10,0,"369,062"
5,05/05/2020,ACC,18.4,19.4,18.9,19.4,18.9,0,500,2.72,90,2,0,0,90,2,"189,000"
6,05/05/2020,ACL,18,17.5,18,18,17.5,17.98,0,0,"8,400",151,0,0,"8,400",151,"410,394"
7,05/05/2020,ADS,10.3,10,10,10.3,10,9.95,-300,-2.91,"2,010",20,0,0,"2,010",20,"255,178"
8,05/05/2020,AGG,27.3,27.4,27.3,27.5,27,27.24,0,0,"208,040","5,669",0,0,"208,040","5,669","2,047,500"
9,05/05/2020,AGM,12.4,12.2,12.25,12.4,12,12.15,-150,-1.21,"5,050",61,0,0,"5,050",61,"222,950"
10,05/05/2020,AGR,2.77,2.77,2.8,2.82,2.75,2.8,30,1.08,"53,060",149,0,0,"53,060",149,"591,360"
11,05/05/2020,AMD,3.12,2.98,3.06,3.13,2.91,2.97,-60,-1.92,"6,114,870","18,151",0,0,"6,114,870","18,151","500,325"
12,05/05/2020,ANV,16.6,16.25,16.5,16.7,16.1,16.39,-100,-0.6,"220,800","3,618","2,057,650","34,157","2,278,450","37,775","2,097,610"
13,05/05/2020,APC,17,17,17.2,17.3,16.9,17.17,200,1.18,"10,720",184,0,0,"10,720",184,"342,366"
14,05/05/2020,APG,9.09,9,9.09,9.09,8.91,9.05,0,0,"1,075,950","9,722",0,0,"1,075,950","9,722","309,323"
15,05/05/2020,ASM,4.96,5,5,5.08,4.9,4.99,40,0.81,"1,456,520","7,268",0,0,"1,456,520","7,268","1,294,339"
16,05/05/2020,ASP,5.23,4.95,5.2,5.2,4.95,4.99,-30,-0.57,"14,520",73,0,0,"14,520",73,"194,166"
17,05/05/2020,AST,52.5,52.4,51.8,52.4,51.1,51.81,-700,-1.33,"38,120","1,975",0,0,"38,120","1,975","2,331,000"
