STT,Ngày,Mã,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi giá(+/-),Thay đổi giá(%),KLGD khớp lệnh,GTGD khớp lệnh,KLGD thỏa thuận,GTGD thỏa thuận,KL Tổng giao dịch,GT Tổng giao dịch,Tổng giao dịch
1,08/05/2020,VN-Index,796.54,800.32,813.73,825.72,800.2,0,17.19,2.16,340156270,6291753,31181232,734638,371337502,7026391,2838935576
2,07/05/2020,VN-Index,782.59,785.08,796.54,796.54,782.59,0,13.95,1.78,214433830,3621570,26369144,750479,240802974,4372049,2779318750
3,06/05/2020,VN-Index,764.16,767.3,782.59,782.59,765.37,0,18.43,2.41,209914330,3437890,62531465,2934190,272445795,6372080,2730528322
4,05/05/2020,VN-Index,762.47,763.22,764.16,767.03,760.04,0,1.69,0.22,168997250,2473263,43379248,942752,212376498,3416015,2666358627
5,04/05/2020,VN-Index,769.11,766.14,762.47,769.73,761.64,0,-6.64,-0.86,253967720,2983022,31602239,1018039,285569959,4001061,2660455654
6,29/04/2020,VN-Index,767.21,768.59,769.11,772.62,768.19,0,1.9,0.25,210867100,3301353,39054051,872734,249921151,4174087,2683782956
