STT,Ngày,Mã,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi giá(+/-),Thay đổi giá(%),KLGD khớp lệnh,GTGD khớp lệnh,KLGD thỏa thuận,GTGD thỏa thuận,KL Tổng giao dịch,GT Tổng giao dịch,Tổng giao dịch
260,07/05/2020,S4A,28,27.5,27.9,27.9,27.5,27.59,-100,-0.36,580,16,0,0,580,16,"1,177,380"
261,07/05/2020,SAB,158,161.9,169,169,160,166.48,"11,000",6.96,"63,680","10,602","63,300","10,698","126,980","21,300","108,376,520"
262,07/05/2020,SAM,9.24,9.24,9.25,9.35,9.23,9.3,10,0.11,"69,570",647,"3,679,444","33,851","3,749,014","34,498","2,372,667"
263,07/05/2020,SAV,7.7,8.2,8.23,8.23,7.74,8.13,530,6.88,"1,600",13,0,0,"1,600",13,"111,335"
264,07/05/2020,SBA,14.1,14.15,14.1,14.15,13.75,0,0,0,30,0,0,0,30,0,"850,021"
265,07/05/2020,SBT,14.25,14.2,14.25,14.35,14,14.21,0,0,"2,174,480","30,897",0,0,"2,174,480","30,897","8,361,053"
266,07/05/2020,SBV,9.3,9.29,9.3,9.3,9.28,9.34,0,0,"6,640",62,0,0,"6,640",62,"253,950"
267,07/05/2020,SC5,21,21,21,21,21,0,0,0,30,1,0,0,30,1,"314,653"
268,07/05/2020,SCD,25.95,24.15,24.15,24.15,24.15,22.58,"-1,800",-6.94,340,8,0,0,340,8,"204,735"
269,07/05/2020,SCR,4.48,4.56,4.55,4.69,4.51,4.58,70,1.56,"2,614,580","11,972","1,006,000","4,587","3,620,580","16,559","1,666,921"
270,07/05/2020,SCS,104.9,104.9,105.3,106,104.8,105.28,400,0.38,"17,400","1,832",0,0,"17,400","1,832","5,303,508"
271,07/05/2020,SFC,20.5,20.5,20.5,20.5,20.5,0,0,0,0,0,0,0,0,0,"230,314"
272,07/05/2020,SFG,5.49,5.49,5.4,5.49,5.2,5.29,-90,-1.64,"15,890",84,0,0,"15,890",84,"258,646"
273,07/05/2020,SFI,18.7,18.9,18.75,18.9,18,18.33,50,0.27,660,12,0,0,660,12,"279,849"
274,07/05/2020,SGN,72,72,70.6,72,70.5,71.08,"-1,400",-1.94,930,66,0,0,930,66,"2,367,472"
275,07/05/2020,SGR,15.5,15.9,15.3,15.9,15.3,12.5,-200,-1.29,160,2,0,0,160,2,"696,761"
276,07/05/2020,SGT,4.5,4.19,4.2,4.49,4.19,4.24,-300,-6.67,"6,800",29,0,0,"6,800",29,"310,807"
277,07/05/2020,SHA,4.15,4.05,4.09,4.2,4.05,4.05,-60,-1.45,"3,710",15,0,0,"3,710",15,"124,079"
278,07/05/2020,SHI,8.54,8.54,8.53,8.54,8.45,8.53,-10,-0.12,"334,120","2,849",0,0,"334,120","2,849","740,142"
279,07/05/2020,SHP,24,24.35,24,24.35,24,24.25,0,0,"3,010",73,0,0,"3,010",73,"2,249,045"
280,07/05/2020,SII,20.7,19.3,19.3,19.3,19.3,19.57,"-1,400",-6.76,460,9,0,0,460,9,"1,245,856"
281,07/05/2020,SJD,16.8,16.8,16.8,16.85,16.7,16.81,0,0,"27,840",468,0,0,"27,840",468,"1,159,177"
282,07/05/2020,SJF,1.82,1.77,1.81,1.84,1.77,1.8,-10,-0.55,"413,290",742,0,0,"413,290",742,"143,352"
283,07/05/2020,SJS,19.2,19.2,19,19.25,18.75,19.04,-200,-1.04,"68,330","1,301",0,0,"68,330","1,301","2,164,052"
284,07/05/2020,SKG,9.75,9.85,9.94,9.97,9.8,9.89,190,1.95,"191,010","1,890",0,0,"191,010","1,890","629,517"
285,07/05/2020,SMA,17.15,17.15,17.15,17.15,17.15,0,0,0,0,0,0,0,0,0,"326,219"
286,07/05/2020,SMB,30,30,30.1,30.2,30,30.14,100,0.33,"73,300","2,209",0,0,"73,300","2,209","898,384"
287,07/05/2020,SMC,10.9,10.85,11,11,10.85,10.8,100,0.92,"5,320",58,0,0,"5,320",58,"670,152"
288,07/05/2020,SPM,10.8,10.8,10.8,10.8,10.8,0,0,0,0,0,0,0,0,0,"148,716"
289,07/05/2020,SRC,17.35,17.2,16.9,17.2,16.4,16.6,-450,-2.59,"5,310",88,0,0,"5,310",88,"474,271"
290,07/05/2020,SRF,13.3,13.25,13.7,13.95,13.2,13.28,400,3.01,"1,290",17,0,0,"1,290",17,"420,801"
291,07/05/2020,SSC,53.5,53.5,53.5,53.5,53.5,0,0,0,0,0,0,0,0,0,"710,040"
292,07/05/2020,SSI,12.95,12.95,13.2,13.2,12.9,13.02,250,1.93,"2,332,040","30,401",0,0,"2,332,040","30,401","7,932,361"
293,07/05/2020,ST8,12.8,12.4,12.8,12.8,12,12.39,0,0,"7,040",87,0,0,"7,040",87,"329,228"
294,07/05/2020,STB,9.14,9.18,9.34,9.38,9.17,9.29,200,2.19,"12,175,430","113,077",0,0,"12,175,430","113,077","16,846,123"
295,07/05/2020,STG,15.7,16.7,15.6,16.7,14.65,15.69,-100,-0.64,"1,030",16,0,0,"1,030",16,"1,532,752"
296,07/05/2020,STK,16.35,16.55,16.8,17,16.4,16.75,450,2.75,"42,900",719,0,0,"42,900",719,"1,188,213"
297,07/05/2020,SVC,69.3,74.1,74.1,74.1,71,73.93,"4,800",6.93,"202,320","14,959","342,270","25,362","544,590","40,321","1,850,685"
298,07/05/2020,SVI,66,66,66,66,66,0,0,0,0,0,0,0,0,0,"846,941"
299,07/05/2020,SVT,8,8.15,8.15,8.15,8.15,0,150,1.88,30,0,0,0,30,0,"85,795"
300,07/05/2020,SZC,19.25,19.3,19.15,19.6,18.9,19.2,-100,-0.52,"668,540","12,837",0,0,"668,540","12,837","1,915,000"
301,07/05/2020,SZL,40.1,40.1,39.8,40.4,39.7,39.96,-300,-0.75,"86,550","3,458",0,0,"86,550","3,458","723,998"
302,07/05/2020,TAC,27,27,27.05,27.25,26.9,27.05,50,0.19,"18,890",511,0,0,"18,890",511,"916,350"
303,07/05/2020,TBC,22.8,22.8,22.8,22.8,22.8,0,0,0,0,0,0,0,0,0,"1,447,800"
304,07/05/2020,TCB,17.55,17.55,17.7,17.7,17.45,17.57,150,0.85,"2,409,540","42,348","430,000","8,063","2,839,540","50,411","61,952,477"
305,07/05/2020,TCD,10,9.8,9.35,9.8,9.31,9.55,-650,-6.5,"6,180",59,0,0,"6,180",59,"395,527"
306,07/05/2020,TCH,22.15,22.2,21.95,22.2,21.8,21.98,-200,-0.9,"437,810","9,623",0,0,"437,810","9,623","7,754,311"
307,07/05/2020,TCL,17.8,17.8,18,18.25,17.7,17.83,200,1.12,"25,030",448,0,0,"25,030",448,"542,852"
308,07/05/2020,TCM,15.05,15.05,15.35,15.4,15.05,15.29,300,1.99,"417,130","6,378",0,0,"417,130","6,378","889,018"
309,07/05/2020,TCO,8.65,8.65,8.65,8.65,8.65,0,0,0,0,0,0,0,0,0,"144,698"
310,07/05/2020,TCR,3.91,4.18,3.64,4.18,3.64,3.49,-270,-6.91,"1,720",6,0,0,"1,720",6,"165,348"
311,07/05/2020,TCT,35,34.6,34.8,35,34.6,34.95,-200,-0.57,"14,450",505,0,0,"14,450",505,"445,022"
312,07/05/2020,TDC,7.55,7.57,7.56,7.65,7.52,7.57,10,0.13,"66,230",501,0,0,"66,230",501,"756,000"
313,07/05/2020,TDG,1.71,1.71,1.77,1.79,1.69,1.72,60,3.51,"510,830",878,0,0,"510,830",878,"29,683"
314,07/05/2020,TDH,8.05,8.01,8.29,8.34,8,8.2,240,2.98,"541,090","4,441","629,000","5,143","1,170,090","9,584","778,252"
315,07/05/2020,TDM,20.4,20.8,20.6,20.85,20.5,20.69,200,0.98,"201,010","4,160",0,0,"201,010","4,160","1,971,420"
316,07/05/2020,TDW,22.6,22.6,22.6,22.6,22.6,0,0,0,0,0,0,0,0,0,"192,100"
317,07/05/2020,TEG,3.05,2.84,2.99,2.99,2.84,2.86,-60,-1.97,"1,400",4,0,0,"1,400",4,"96,827"
318,07/05/2020,TGG,0.85,0.85,0.85,0.85,0.83,0.84,0,0,"152,080",128,0,0,"152,080",128,"23,205"
319,07/05/2020,THG,48,48.1,48.5,49.3,47.1,48.47,500,1.04,"8,920",432,0,0,"8,920",432,"640,189"
320,07/05/2020,THI,26,27.8,27.8,27.8,27.8,0,"1,800",6.92,520,14,0,0,520,14,"1,223,200"
321,07/05/2020,TIP,18.4,18.9,18.7,19,18.4,18.79,300,1.63,"153,530","2,884",0,0,"153,530","2,884","486,259"
322,07/05/2020,TIX,32.1,32.1,32.1,32.1,32.1,30,0,0,100,3,0,0,100,3,"963,000"
323,07/05/2020,TLD,5.2,5.24,5.3,5.34,5.2,5.24,100,1.92,"86,100",451,0,0,"86,100",451,"99,215"
324,07/05/2020,TLG,31.2,31.2,31.35,31.6,31.2,31.28,150,0.48,"176,570","5,524",0,0,"176,570","5,524","2,438,856"
325,07/05/2020,TLH,2.9,2.9,2.9,2.94,2.89,2.9,0,0,"267,480",776,0,0,"267,480",776,"291,887"
326,07/05/2020,TMP,31.95,32,32,32,32,32.1,50,0.16,810,26,0,0,810,26,"2,240,000"
327,07/05/2020,TMS,26.5,26.5,25.6,26.5,25.5,26.47,-900,-3.4,"4,430",117,0,0,"4,430",117,"1,615,329"
328,07/05/2020,TMT,5.2,5.35,5.4,5.4,5.35,4.95,200,3.85,"1,010",5,0,0,"1,010",5,"199,141"
329,07/05/2020,TN1,64.7,64.7,64.7,64.7,64,64.34,0,0,"4,370",282,0,0,"4,370",282,"860,510"
330,07/05/2020,TNA,15.45,15.45,15.45,15.45,15.05,15.3,0,0,"18,490",283,0,0,"18,490",283,"529,149"
331,07/05/2020,TNC,17.05,16,18.2,18.2,16,17.93,"1,150",6.74,"133,490","2,393",0,0,"133,490","2,393","350,350"
332,07/05/2020,TNI,10.45,10.45,10.5,10.5,10.35,10.44,50,0.48,"389,910","4,070",0,0,"389,910","4,070","551,250"
333,07/05/2020,TNT,1.46,1.53,1.52,1.53,1.47,1.48,60,4.11,"36,170",54,0,0,"36,170",54,"38,760"
334,07/05/2020,TPB,17.95,18.2,18.1,18.2,17.95,18.02,150,0.84,"85,730","1,545",0,0,"85,730","1,545","14,779,974"
335,07/05/2020,TPC,7.99,7.98,7.98,7.98,7.98,0,-10,-0.13,10,0,0,0,10,0,"179,685"
