STT,Ngày,Mã,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi giá(+/-),Thay đổi giá(%),KLGD khớp lệnh,GTGD khớp lệnh,KLGD thỏa thuận,GTGD thỏa thuận,KL Tổng giao dịch,GT Tổng giao dịch,Tổng giao dịch
1,06/05/2020,AAA,12.1,12.1,11.95,12.25,11.9,12.01,-150,-1.24,"1,736,870","20,851",0,0,"1,736,870","20,851","2,045,840"
2,06/05/2020,AAM,11.05,11.5,11.5,11.5,11.5,10,450,4.07,190,2,0,0,190,2,"120,189"
3,06/05/2020,ABS,14.9,14.45,15.9,15.9,14.45,15.57,"1,000",6.71,"150,420","2,341",0,0,"150,420","2,341","457,920"
4,06/05/2020,ABT,32.1,34.2,32.1,34.2,32.1,33.33,0,0,30,1,0,0,30,1,"369,062"
5,06/05/2020,ACC,18.9,18.8,18.8,19,18.8,19.01,-100,-0.53,"7,060",134,0,0,"7,060",134,"188,000"
6,06/05/2020,ACL,18,18,17.55,18.15,16.8,17.77,-450,-2.5,"18,280",324,0,0,"18,280",324,"400,134"
7,06/05/2020,ADS,10,9.95,9.94,9.95,9.55,10.04,-60,-0.6,"2,450",24,0,0,"2,450",24,"253,647"
8,06/05/2020,AGG,27.3,27.3,27.1,27.4,26.9,27.21,-200,-0.73,"212,680","5,786",0,0,"212,680","5,786","2,032,500"
9,06/05/2020,AGM,12.25,12.25,12.1,12.25,11.85,12.03,-150,-1.22,"21,210",255,0,0,"21,210",255,"220,220"
10,06/05/2020,AGR,2.8,2.8,2.88,2.88,2.76,2.83,80,2.86,"101,530",287,0,0,"101,530",287,"608,256"
11,06/05/2020,AMD,3.06,3.06,3.25,3.27,3.06,3.17,190,6.21,"4,844,850","15,341",0,0,"4,844,850","15,341","531,391"
12,06/05/2020,ANV,16.5,16.3,16.35,16.6,16.1,16.36,-150,-0.91,"312,530","5,114","510,000","8,415","822,530","13,529","2,078,541"
13,06/05/2020,APC,17.2,17.35,17.9,17.9,17.2,17.5,700,4.07,"23,590",413,0,0,"23,590",413,"356,300"
14,06/05/2020,APG,9.09,8.8,9.1,9.1,8.8,9.03,10,0.11,"1,036,500","9,328","100,000",910,"1,136,500","10,238","309,663"
15,06/05/2020,ASM,5,5.08,5,5.08,4.95,5,0,0,"1,335,280","6,676",0,0,"1,335,280","6,676","1,294,339"
