STT,Ngày,Mã,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi giá(+/-),Thay đổi giá(%),KLGD khớp lệnh,GTGD khớp lệnh,KLGD thỏa thuận,GTGD thỏa thuận,KL Tổng giao dịch,GT Tổng giao dịch,Tổng giao dịch
1,04/05/2020,AAA,12.35,11.95,11.65,12,11.6,11.79,-700,-5.67,"2,753,670","32,465",0,0,"2,753,670","32,465","1,994,480"
2,04/05/2020,AAM,11.5,11.5,11.5,11.5,11.5,20,0,0,50,1,0,0,50,1,"120,189"
3,04/05/2020,ABS,16.65,15.5,15.5,15.5,15.5,15.48,"-1,150",-6.91,"50,130",777,0,0,"50,130",777,"446,400"
4,04/05/2020,ABT,32,34,34.1,34.1,34,34.38,"2,100",6.56,640,22,0,0,640,22,"392,056"
5,04/05/2020,ACC,19.2,18.4,18.4,18.4,18.4,0,-800,-4.17,"1,200",22,0,0,"1,200",22,"184,000"
6,04/05/2020,ACL,18.4,18.4,18,18.4,17.2,17.72,-400,-2.17,"16,540",293,0,0,"16,540",293,"410,394"
7,04/05/2020,ADS,10,10,10.3,10.3,10,10.1,300,3,"3,070",31,0,0,"3,070",31,"262,833"
8,04/05/2020,AGG,27.8,27.7,27.3,27.7,27,27.36,-500,-1.8,"202,060","5,528",0,0,"202,060","5,528","2,047,500"
9,04/05/2020,AGM,12.85,12.45,12.4,12.85,12.2,12.39,-450,-3.5,"26,440",328,0,0,"26,440",328,"225,680"
10,04/05/2020,AGR,2.8,2.8,2.77,2.8,2.75,2.78,-30,-1.07,"66,900",186,0,0,"66,900",186,"585,024"
11,04/05/2020,AMD,3.35,3.12,3.12,3.24,3.12,3.14,-230,-6.87,"5,346,100","16,774",0,0,"5,346,100","16,774","510,135"
12,04/05/2020,ANV,16.95,16.95,16.6,17,16.5,16.73,-350,-2.06,"154,400","2,583",0,0,"154,400","2,583","2,110,323"
13,04/05/2020,APC,16.5,16.5,17,17.3,16.45,16.98,500,3.03,"40,840",693,0,0,"40,840",693,"338,385"
14,04/05/2020,APG,9.1,9,9.09,9.15,9,9.09,-10,-0.11,"552,330","5,020","431,960","3,659","984,290","8,679","309,323"
15,04/05/2020,ASM,4.64,4.7,4.96,4.96,4.65,4.94,320,6.9,"4,134,150","20,412",0,0,"4,134,150","20,412","1,283,985"
16,04/05/2020,ASP,5.3,5.3,5.23,5.32,5.13,5.24,-70,-1.32,"75,550",396,0,0,"75,550",396,"195,286"
17,04/05/2020,AST,53.6,54.5,52.5,54.5,52.5,53.67,"-1,100",-2.05,"55,690","2,988",0,0,"55,690","2,988","2,362,500"
18,04/05/2020,ATG,0.55,0.56,0.55,0.56,0.52,0.59,0,0,"7,980",4,0,0,"7,980",4,"8,371"
19,04/05/2020,BBC,43.8,43.2,43.2,43.2,43.2,42.37,-600,-1.37,590,25,0,0,590,25,"666,178"
20,04/05/2020,BCE,7.58,7.64,7.47,7.65,7.46,7.56,-110,-1.45,"99,790",754,0,0,"99,790",754,"224,100"
21,04/05/2020,BCG,5.02,5,4.9,5.02,4.9,4.93,-120,-2.39,"173,820",857,"300,000","1,611","473,820","2,468","529,228"
22,04/05/2020,BFC,12.6,12.55,11.8,12.65,11.8,12.17,-800,-6.35,"278,160","3,375",0,0,"278,160","3,375","674,582"
23,04/05/2020,BHN,56,54,54.1,55,54,54.49,"-1,900",-3.39,"16,460",897,0,0,"16,460",897,"12,540,380"
24,04/05/2020,BIC,24.8,24.8,25,25,23.5,23.63,200,0.81,"8,460",204,0,0,"8,460",204,"2,931,922"
25,04/05/2020,BID,35.6,35.6,35.3,36.4,35.1,35.76,-300,-0.84,"655,630","23,426",0,0,"655,630","23,426","141,977,237"
26,04/05/2020,BMC,11.1,11.05,11,11.05,10.9,10.97,-100,-0.9,"27,260",299,0,0,"27,260",299,"136,319"
27,04/05/2020,BMI,22.6,22.6,21.6,22.75,21.05,22.25,"-1,000",-4.42,"374,420","8,300",0,0,"374,420","8,300","1,973,247"
28,04/05/2020,BMP,47.2,47.2,46.7,47.2,46.5,46.83,-500,-1.06,"236,430","11,070",0,0,"236,430","11,070","3,822,906"
29,04/05/2020,BRC,10.5,10.5,10.5,10.5,10.5,0,0,0,0,0,0,0,0,0,"129,937"
30,04/05/2020,BSI,8,8.13,7.6,8.13,7.5,7.76,-400,-5,"21,270",165,0,0,"21,270",165,"923,937"
31,04/05/2020,BTP,15.8,15.7,15,15.8,15,15.37,-800,-5.06,"48,590",746,0,0,"48,590",746,"907,284"
32,04/05/2020,BTT,35.25,37.7,37.7,37.7,37.7,0,"2,450",6.95,10,0,0,0,10,0,"508,950"
33,04/05/2020,BVH,46.2,46,44.1,46.45,44.1,45.78,"-2,100",-4.55,"449,700","20,468",0,0,"449,700","20,468","32,736,434"
34,04/05/2020,BWE,20.4,21.8,20.7,21.8,20.5,21.01,300,1.47,"232,560","4,892",0,0,"232,560","4,892","3,105,000"
35,04/05/2020,C32,23,23.1,23.4,24.1,21.5,23.69,400,1.74,"134,590","3,183",0,0,"134,590","3,183","351,705"
36,04/05/2020,C47,8.19,7.9,7.9,7.9,7.81,7.85,-290,-3.54,"14,780",116,0,0,"14,780",116,"134,459"
37,04/05/2020,CAV,62.7,65.2,65.2,65.3,65.2,64.71,"2,500",3.99,520,34,0,0,520,34,"3,748,311"
38,04/05/2020,CCI,13.5,13.95,13.5,13.95,13.5,12.9,0,0,320,4,0,0,320,4,"236,805"
39,04/05/2020,CCL,6.61,7,7,7.07,6.65,6.96,390,5.9,"458,250","3,190",0,0,"458,250","3,190","332,499"
40,04/05/2020,CDC,14,13.05,14,14,13.05,13.86,0,0,"1,010",14,0,0,"1,010",14,"219,890"
41,04/05/2020,CEE,15,14,14,14,14,0,"-1,000",-6.67,10,0,0,0,10,0,"553,000"
42,04/05/2020,CHP,19,19,19,19,19,19.03,0,0,"11,300",215,0,0,"11,300",215,"2,633,372"
43,04/05/2020,CIG,1.69,1.69,1.71,1.72,1.69,1.73,20,1.18,"1,790",3,0,0,"1,790",3,"53,933"
44,04/05/2020,CII,19.85,19.6,19.3,20,19.3,19.63,-550,-2.77,"1,388,690","27,246","1,800,564","34,937","3,189,254","62,183","4,783,279"
45,04/05/2020,CKG,8.1,8.05,7.8,8.05,7.8,7.89,-300,-3.7,"6,040",48,0,0,"6,040",48,"390,000"
46,04/05/2020,CLC,27.35,27.25,27.25,27.25,27.25,0,-100,-0.37,50,1,0,0,50,1,"714,157"
47,04/05/2020,CLG,2.05,2.16,1.93,2.16,1.93,2,-120,-5.85,"47,030",94,0,0,"47,030",94,"40,820"
48,04/05/2020,CLL,28.75,28.5,28.5,28.5,28.5,29.09,-250,-0.87,550,16,0,0,550,16,"969,000"
49,04/05/2020,CLW,28,28,28,28,28,0,0,0,0,0,0,0,0,0,"364,000"
50,04/05/2020,CMG,28.65,28.65,28.3,28.65,27.9,27.98,-350,-1.22,"15,600",437,0,0,"15,600",437,"2,829,996"
51,04/05/2020,CMV,14.95,13.95,13.95,13.95,13.95,12.5,"-1,000",-6.69,160,2,0,0,160,2,"168,850"
52,04/05/2020,CMX,13,13.3,12.5,13.3,12.1,12.41,-500,-3.85,"133,080","1,656",0,0,"133,080","1,656","330,531"
53,04/05/2020,CNG,20.8,20.8,20.8,20.85,20.7,20.76,0,0,"11,800",245,0,0,"11,800",245,"561,593"
54,04/05/2020,COM,44,44,44,44,44,0,0,0,0,0,0,0,0,0,"621,308"
55,04/05/2020,CRC,11.35,11.35,11.35,11.35,11.3,11.33,0,0,"18,020",204,0,0,"18,020",204,"170,250"
56,04/05/2020,CRE,15.3,15.3,15,15.4,15,15.21,-300,-1.96,"282,410","4,289",0,0,"282,410","4,289","1,199,998"
57,04/05/2020,CSM,15.9,15.9,17,17,15.75,16.73,"1,100",6.92,"413,030","6,912",0,0,"413,030","6,912","1,761,629"
58,04/05/2020,CSV,20.6,20.4,20.2,20.55,20.15,20.31,-400,-1.94,"254,650","5,168",0,0,"254,650","5,168","892,840"
59,04/05/2020,CTD,62.7,62.5,61,62.7,61,61.87,"-1,700",-2.71,"258,520","15,985",0,0,"258,520","15,985","4,653,847"
60,04/05/2020,CTF,22.4,22.4,22.8,22.8,20.85,22.12,400,1.79,"150,760","3,335",0,0,"150,760","3,335","1,038,311"
61,04/05/2020,CTG,20,19.75,20.05,20.45,19.55,20.1,50,0.25,"7,526,760","151,228","242,000","4,638","7,768,760","155,866","74,654,261"
62,04/05/2020,CTI,19,18.9,19,19.15,17.9,18.81,0,0,"33,350",628,0,0,"33,350",628,"1,197,000"
63,04/05/2020,CTS,5.68,5.55,5.45,5.55,5.3,5.42,-230,-4.05,"187,510","1,019",0,0,"187,510","1,019","579,878"
64,04/05/2020,CVT,16.7,16.3,16.35,16.5,16.3,16.35,-350,-2.1,"251,580","4,112",0,0,"251,580","4,112","599,896"
65,04/05/2020,D2D,56.8,55.5,53.8,57,53.7,55.31,"-3,000",-5.28,"418,480","23,113",0,0,"418,480","23,113","1,146,476"
