STT,Ngày,Mã,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi giá(+/-),Thay đổi giá(%),KLGD khớp lệnh,GTGD khớp lệnh,KLGD thỏa thuận,GTGD thỏa thuận,KL Tổng giao dịch,GT Tổng giao dịch,Tổng giao dịch
1,08/05/2020,AAA,12.15,12.2,12.05,12.4,12.05,12.2,-100,-0.82,"3,145,840","38,349",0,0,"3,145,840","38,349","2,062,960"
2,08/05/2020,AAM,11.5,11.8,11.65,11.8,11.1,11.11,150,1.3,90,1,0,0,90,1,"121,756"
3,08/05/2020,ABS,15.3,15,15.3,15.3,14.5,14.73,0,0,"299,560","4,428",0,0,"299,560","4,428","440,640"
4,08/05/2020,ABT,32.1,31.6,31.6,31.6,31.6,30,-500,-1.56,100,3,0,0,100,3,"363,313"
5,08/05/2020,ACC,19,19,18.6,19.6,18.6,19.11,-400,-2.11,"2,260",43,0,0,"2,260",43,"186,000"
6,08/05/2020,ACL,17.4,17.95,18.5,18.6,17.6,18.39,"1,100",6.32,"56,170","1,032",0,0,"56,170","1,032","421,794"
7,08/05/2020,ADS,9.9,9.55,9.69,9.78,9.55,9.78,-210,-2.12,"2,770",27,0,0,"2,770",27,"247,267"
8,08/05/2020,AGG,27.1,27.1,27.15,27.5,27.05,27.23,50,0.18,"201,750","5,491",0,0,"201,750","5,491","2,036,250"
9,08/05/2020,AGM,12.05,11.95,12.2,12.2,11.9,12.09,150,1.24,"31,930",386,0,0,"31,930",386,"222,040"
10,08/05/2020,AGR,2.89,2.9,3.01,3.06,2.9,3.01,120,4.15,"318,130",958,0,0,"318,130",958,"635,712"
11,08/05/2020,AMD,3.14,3.17,3.1,3.19,3.08,3.13,-40,-1.27,"3,794,560","11,880",0,0,"3,794,560","11,880","506,865"
12,08/05/2020,ANV,17.35,17.65,17.4,17.95,17.4,17.65,50,0.29,"467,200","8,244",0,0,"467,200","8,244","2,212,025"
13,08/05/2020,APC,18,18.3,18,18.3,17.4,17.73,0,0,"42,910",761,0,0,"42,910",761,"358,290"
14,08/05/2020,APG,9.19,9.1,9.25,9.3,9.1,9.25,60,0.65,"885,570","8,166","100,000",920,"985,570","9,086","314,767"
15,08/05/2020,ASM,5.12,5.18,5.07,5.25,5.07,5.19,-50,-0.98,"2,185,610","11,325",0,0,"2,185,610","11,325","1,312,460"
16,08/05/2020,ASP,5.2,5.2,5.23,5.26,5.2,5.23,30,0.58,"60,740",318,0,0,"60,740",318,"195,286"
17,08/05/2020,AST,51.7,52.9,52.3,52.9,51.8,52.32,600,1.16,"98,220","5,140",0,0,"98,220","5,140","2,353,500"
18,08/05/2020,ATG,0.53,0.53,0.53,0.53,0.52,0.56,0,0,"10,900",6,0,0,"10,900",6,"8,067"
19,08/05/2020,BBC,43.4,41.05,44,44,41,42.51,600,1.38,"2,570",110,0,0,"2,570",110,"678,514"
20,08/05/2020,BCE,8,8,7.71,8.15,7.71,7.91,-290,-3.63,"305,490","2,416",0,0,"305,490","2,416","231,300"
21,08/05/2020,BCG,5.36,5.41,5.6,5.73,5.41,5.69,240,4.48,"999,610","5,671",0,0,"999,610","5,671","604,832"
22,08/05/2020,BFC,11.75,11.75,11.55,12.1,11.5,11.73,-200,-1.7,"728,330","8,537",0,0,"728,330","8,537","660,290"
23,08/05/2020,BHN,56.3,56.5,56.8,57,56.5,56.81,500,0.89,"20,000","1,136",0,0,"20,000","1,136","13,166,240"
24,08/05/2020,BIC,24.3,24.2,24.2,24.2,23.7,23.89,-100,-0.41,"11,160",267,0,0,"11,160",267,"2,838,101"
25,08/05/2020,BID,37.55,37.95,38,39.3,37.55,38.3,450,1.2,"2,563,570","98,150",0,0,"2,563,570","98,150","152,836,686"
26,08/05/2020,BMC,11.05,11.1,11.8,11.8,11.1,11.66,750,6.79,"46,220",538,0,0,"46,220",538,"146,233"
27,08/05/2020,BMI,22.4,22.4,22.4,22.7,22.1,22.4,0,0,"264,050","5,914",0,0,"264,050","5,914","2,046,330"
28,08/05/2020,BMP,44.5,44.3,44.55,45,44.2,44.46,50,0.11,"401,010","17,831",0,0,"401,010","17,831","3,646,905"
29,08/05/2020,BRC,11,11,11,11,11,0,0,0,0,0,0,0,0,0,"136,125"
30,08/05/2020,BSI,7.9,7.63,7.89,8,7.62,7.68,-10,-0.13,"75,820",583,0,0,"75,820",583,"959,193"
31,08/05/2020,BTP,15.3,15.2,15.3,15.7,15,15.21,0,0,"55,310",841,0,0,"55,310",841,"925,430"
32,08/05/2020,BTT,42.2,39.25,45.15,45.15,39.25,33.33,"2,950",6.99,30,1,0,0,30,1,"609,525"
33,08/05/2020,BVH,46.95,47,47.9,49.4,47,48.26,950,2.02,"1,646,520","79,430",0,0,"1,646,520","79,430","35,557,260"
34,08/05/2020,BWE,20.7,20.8,20.75,21.35,20.7,20.9,50,0.24,"428,270","8,948",0,0,"428,270","8,948","3,112,500"
35,08/05/2020,C32,25.3,25.6,24.6,25.6,24.6,24.99,-700,-2.77,"35,380",886,0,0,"35,380",886,"369,742"
36,08/05/2020,C47,8.76,9.37,9.1,9.37,9.08,9.34,340,3.88,"35,180",328,0,0,"35,180",328,"154,883"
37,08/05/2020,CAV,65,64,65,65,64,64.84,0,0,"3,470",225,0,0,"3,470",225,"3,736,813"
38,08/05/2020,CCI,13,13.9,13.05,13.9,13.05,18.18,50,0.38,110,2,0,0,110,2,"228,911"
39,08/05/2020,CCL,7.39,7.39,7.3,7.6,7.2,7.37,-90,-1.22,"180,600","1,332",0,0,"180,600","1,332","346,749"
40,08/05/2020,CDC,14.8,13.8,14.5,14.8,13.8,25,-300,-2.03,60,1,0,0,60,1,"227,743"
41,08/05/2020,CEE,13.7,13.15,13.15,13.15,13.15,0,-550,-4.01,50,1,0,0,50,1,"519,425"
42,08/05/2020,CHP,19.5,20.5,18.8,20.5,18.8,33.33,-700,-3.59,50,1,0,0,50,1,"2,605,652"
43,08/05/2020,CIG,1.8,1.68,1.68,1.68,1.68,1.91,-120,-6.67,"1,050",2,0,0,"1,050",2,"52,987"
